"","player_name","player_id","combWoba","combXwoba","combLaunch_angle","combLaunch_speed","combBatted_ball_direction_0","combBatted_ball_direction_1","combBatted_ball_direction_2"
"69","Kendrys Morales","434778","0.386406690140845","0.445","10.1457746478873","92.0207746478873","594","681","429"
"70","Howie Kendrick","435062","0.367698560541914","0.379434377646063","1.9995766299746","89.5330228619814","291","518","372"
"71","Mike Napoli","435063","0.410668058455115","0.41770981210856","18.7237995824635","88.8110647181628","402","354","202"
"72","Bobby Wilson","435064","0.300707774798928","0.308935656836461","10.429490616622","82.1321715817694","174","124","75"
"73","Ian Kinsler","435079","0.346055951169888","0.334966429298067","18.1818921668362","86.0283825025432","784","704","478"
"74","Brian McCann","435263","0.336039900249377","0.346291770573566","17.7306733167082","87.9693266832918","543","429","231"
"75","Skip Schumaker","435401","0.312659793814433","0.33440206185567","5.45360824742268","85.939175257732","68","62","64"
"76","Neil Walker","435522","0.365115555555556","0.377106666666667","15.2372592592593","87.7317037037037","520","507","323"
"77","Kurt Suzuki","435559","0.325453740949316","0.324522928399035","15.6069187449718","86.9800482703138","527","454","262"
"78","Ian Desmond","435622","0.385148407643312","0.355442675159236","2.84350318471338","89.551974522293","435","676","459"
"79","Nelson Cruz","443558","0.465768820391227","0.484270302311796","11.4565500889152","93.4829282750445","599","685","403"
"80","John Jaso","444379","0.361996908809892","0.384129829984544","10.7182380216383","87.074343122102","268","259","120"
"81","Mark Trumbo","444432","0.409550371872887","0.415490872210953","13.0080459770115","91.7237322515213","510","587","382"
"82","David Peralta","444482","0.413601013758146","0.379396089790007","5.84583635047067","90.0666908037654","438","593","350"
"83","Manny Pina","444489","0.363340989399293","0.358378091872792","16.1097173144876","86.1468197879859","207","216","143"
"84","Andre Ethier","444843","0.404572890025576","0.393483375959079","11.4268542199488","86.4544757033248","152","144","95"
"85","Alcides Escobar","444876","0.296264258555133","0.292577946768061","9.50598859315589","83.1319391634981","718","806","580"
"86","Jon Jay","445055","0.330446001648805","0.328077493816983","4.87889530090684","84.3765869744435","357","478","378"
"87","Martin Prado","445988","0.330246422893482","0.330254372019078","8.6248012718601","88.1042925278219","382","520","356"
"88","Lucas Duda","446263","0.412208955223881","0.440029850746269","18.847263681592","90.2766169154229","400","350","255"
"89","Matt Wieters","446308","0.333824790307549","0.358989748369059","14.3615097856477","86.7503261882572","398","393","282"
"90","Evan Longoria","446334","0.374383795309168","0.384183901918977","15.0355010660981","88.8570895522388","716","687","473"
"91","Zack Cozart","446359","0.364135992747053","0.327859474161378","15.2344514959202","85.7142339075249","501","391","211"
"92","Darwin Barney","446381","0.305911231884058","0.289858695652174","10.1476449275362","83.195652173913","201","202","149"
"93","Brandon Guyer","446386","0.345377805486284","0.319932668329177","13.3870324189526","85.5648379052369","323","292","187"
"94","Sean Rodriguez","446481","0.402153558052434","0.379771535580524","11.6048689138577","87.1992509363296","211","191","132"
"95","Jose Lobaton","446653","0.278353293413174","0.360526946107784","9.10419161676647","86.4730538922156","114","126","94"
"96","Mark Reynolds","448602","0.431097607655502","0.388123444976077","13.1073684210526","87.6222009569378","394","402","249"
"97","Chris Davis","448801","0.451917981072555","0.48913880126183","16.1196372239748","90.517665615142","559","434","275"
"98","Mike Aviles","449107","0.262105263157895","0.282736842105263","8.35263157894737","84.8105263157895","150","200","125"
"99","Paulo Orlando","449181","0.356834782608696","0.354313043478261","8.78","87.6756521739131","228","252","210"
"100","Ben Zobrist","450314","0.341255343082115","0.334680539932508","8.68357705286839","88.2411698537683","792","636","350"
"101","Shane Peterson","451089","0.361631578947368","0.356258373205742","8.04688995215311","87.566985645933","67","86","56"
"102","Jim Adduci","451192","0.378457894736842","0.337673684210526","9.47789473684211","86.3621052631579","54","71","65"
"103","Dexter Fowler","451594","0.376352941176471","0.352424521615875","12.4915662650602","87.0178596739901","554","533","324"
"104","Tyler Flowers","452095","0.390413793103448","0.393964328180737","11.8914387633769","90.5193816884661","312","307","222"
"105","Chase Headley","452104","0.35618729903537","0.36767845659164","11.4534565916399","86.6614951768489","474","475","295"
"106","Stephen Drew","452220","0.326549707602339","0.309590643274854","17.1543859649123","86.6653021442495","215","199","99"
"107","Seth Smith","452234","0.375659976387249","0.40870720188902","9.83648170011806","89.5314049586777","310","335","202"
"108","Justin Maxwell","452239","0.336457142857143","0.3444","9.11714285714286","88.04","60","60","55"
"109","Adam Lind","452252","0.38475","0.397167721518987","10.8148734177215","90.3256329113924","321","375","252"
"110","Hunter Pence","452254","0.365876425855513","0.363743346007605","4.66939163498099","89.5593155893536","278","464","310"
"111","Denard Span","452655","0.336154498044329","0.338219035202086","8.66636245110821","85.4930247718383","564","569","401"
"112","Ryan Hanigan","452672","0.304482876712329","0.291294520547945","6.54143835616438","83.9099315068493","99","113","80"
"113","Asdrubal Cabrera","452678","0.378394213381555","0.35975226039783","14.0493670886076","87.9235081374322","746","553","360"
"114","Jacoby Ellsbury","453056","0.322746073298429","0.320834205933682","10.4283595113438","85.9787085514834","419","422","305"
